City,latitude,longitude,country,iso2,State
Abohar,30.1445,74.1955,India,IN,Punjab
Adilabad,19.4000,78.3100,India,IN,Telangana
Agartala,23.8360,91.2794,India,IN,Tripura
Agra,27.1879,78.0039,India,IN,Uttar Pradesh
Ahmadnagar,19.0946,74.7384,India,IN,Maharashtra
Ahmedabad,23.0258,72.5873,India,IN,Gujarat
Aizawl  ,23.7367,92.7146,India,IN,Mizoram
Ajmer,26.4521,74.6387,India,IN,Rajasthan
Akola,20.7096,76.9981,India,IN,Maharashtra
Alappuzha,9.4946,76.3311,India,IN,Kerala
Aligarh,27.8815,78.0746,India,IN,Uttar Pradesh
Alipurduar,26.4835,89.5229,India,IN,West Bengal
Allahabad,25.4448,81.8432,India,IN,Uttar Pradesh
Alwar,27.5663,76.6102,India,IN,Rajasthan
Ambala,30.3610,76.7978,India,IN,Haryana
Amaravati,20.9333,77.7515,India,IN,Maharashtra
Amritsar,31.6223,74.8753,India,IN,Punjab
Asansol,23.6833,86.9833,India,IN,West Bengal
Aurangabad,19.8809,75.3467,India,IN,Maharashtra
Aurangabad,24.7520,84.3742,India,IN,Bihar
Bakshpur,25.8943,80.7921,India,IN,Uttar Pradesh
Bamanpuri,28.8045,79.0403,India,IN,Uttar Pradesh
Baramula,34.2090,74.3429,India,IN,Jammu and Kashmir
Barddhaman,23.2557,87.8569,India,IN,West Bengal
Bareilly,28.3470,79.4219,India,IN,Uttar Pradesh
Belgaum,15.8626,74.5085,India,IN,Karnataka
Bellary,15.1420,76.9240,India,IN,Karnataka
Bengaluru,12.9771,77.5871,India,IN,Karnataka
Bhagalpur,25.2445,86.9718,India,IN,Bihar
Bharatpur,27.2153,77.4928,India,IN,Rajasthan
Bharauri,27.5982,81.6947,India,IN,Uttar Pradesh
Bhatpara,22.8664,88.4011,India,IN,West Bengal
Bhavnagar,21.7745,72.1525,India,IN,Gujarat
Bhilai,21.2092,81.4285,India,IN,Chhattisgarh
Bhilwara,25.3471,74.6408,India,IN,Rajasthan
Bhiwandi,19.3002,73.0588,India,IN,Maharashtra
Bhiwani,28.7930,76.1397,India,IN,Haryana
Bhopal ,23.2547,77.4029,India,IN,Madhya Pradesh
Bhubaneshwar,20.2724,85.8339,India,IN,Odisha
